Sentence,Source CM
"And by turning local issues into federal responsibilities, Congress robs the taxpayers of 49 states to ""benefit"" the taxpayers of one.",Theft
It feeds off the election addiction of other people.,Addiction
"Election protection is, unfortunately, a necessary aspect of voting because in 2008, U.S. voters are still faced with a number of impediments to casting their ballots for candidates:",Protection
"First, it wraps the opposition in the mantle of popular democracy.",Clothing
"In Ethiopia, democracy is in its infancy and it must be nurtured along by its leaders.",Life Stage
And the former president realizes (1) that she abdicated an affirmative duty to steal the election and (2) that her high-mindedness was nothing but vanity.,Theft
"Harry Wilson, author of a book on gun politics and director of the Institute for Policy and Opinion Research at Roanoke College in Virginia, summed up the landscape, telling Werner: ""Gun control is a fight that the administration is not willing to pick.",Struggle
"As Jesus and Elijah gave the widows their sons, today, as a society we must ask who in society should be given a safety net, so they will not fall into the abyss of poverty.",Abyss
There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.,Physical Harm
"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",Natural Physical Force/Physical Harm
"Our boilerplate lays it out, More ineffective gun control damages our electoral chances and a republic in power causes way more problems than a gun in your or my hands.....",Physical Harm
The best news that has come is the rolling thunder of democracy spreading around the world from the northern coast of Africa such as Morroco Lybia Egypt the citizens of these one repressive nations dominated by dictators like Sadam and OMAR kADAFIE ARE NOW FINISHED AND WE SHOULD HOPE THAT THESE NATIONS WILL SEEEK THE FREEDOMS THAT GOD HAS PROVIDED EACH OF US AS HUMAN BEINGS THEN THEY CHOOSE FOR THEMSELVES THE TRUTH AND PATH THEY WILL FOLLOW more over we need such change like twenty years ago when russia was a powerful dictator the great communist nation is more democratic then ever before and soon the small once invisible nations will be free and hope with Gods blessings a peaceful nation building a democracy and given rights to its citizens.,Natural Physical Force
I want to make swift and tangible progress on the measure that will strengthen our daily democracy.,Building/Strength
"President Obama would not need to expend all of his energy fighting the election battle for the next two years, especially when we need to focus on the matters at hand â€“ in terms of the economy, job growth, our deficit, climate change, etc.",War
"Let the 31 Club, led by Daryle S. Lambert, help turn your antique & collectible work into actions that produce vast wealth.",Machine
"The Constitution protects many other civil liberties besides the freedom of speech and religion, the right of privacy, and the rights of the accused.",Protection
"Socialist parties also challenged governments, particularly during the Great Depression, to tackle the inequalities that were still widespread in democratic and wealthy nations.",Competition
"Yes, being poor is a burden upon humanity in my opinion and it effects all of us.",Physical Burden
"Immigration reform stalled, gun control failed, and the fall was bogged down by the rocky rollout of his signature Affordable Care Act.",Competition
