,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
866,"What I respected is that she didn't use it to attack the firearm, it was just something she associated with her trauma and honestly I can't blame her for having that scar, it's a pretty scary thing to be involved in.",attack,Guns,War,Threatened,"[' none', ' to have a scar on their body', ' to have a scar on their body.']","[' scared', ' angry', ' hurt']","[' none', ' she goes to the hospital', ' she goes to the doctor']","[' none', ' get arrested', ' to be safe']"
867,"One result was that many projects became directly orientated towards poverty relief or towards certain target groups such as women, the poorest etc.",relief,Poverty,Disease,Threat,"[' one of the main reasons for the success of the project', ' one of the main reasons for the success of the project.', ' one of the main reasons for the success of the program']","[' helpful', ' charitable', ' needy']","[' one of the most successful charities in the world.', ' one of the most successful charities in the world', ' one of the most important things in life.']","[' one of the main goals of the project was to help the poor.', ' one of the main goals of the project was to help poor people.', ' one of the main goals of the project was to help the poor']"
868,Are we just going to believe the proponents of democracy when they say that democracy has advanced beyond this?,advanced,Democracy,Forward Movement,Agent,"[' none', ' are told they are wrong', ' are told they are right']","[' are told that they are better than others', ' are told that they are wrong', ' are told that they are better than before']","[' are told that they are wrong', ' are told they are wrong', ' are told they are wrong by others']","[' are told that they are wrong', ' are told they are wrong', ' none']"
869,Gun control was a central pillar in President Obama's State of the Union address.,pillar,Control of Guns,Building,Component,"[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun violence', ' gun control laws']"
870,"However gun control sells its pubic campaign of citizens safety wringing hands and with tears in their eyes they parade victims screaming, do you want this to happen to you.",sells,Control of Guns,Business,Business,"[' none', ' they cry out in pain', ' they cry out in fear']","[' scared', ' angry', ' sad']","[' none', ' people are scared', ' people are scared.']","[' none', ' people are scared', ' people are scared.']"
871,"Just like Obama exemption ultra-mega-billionaire heirs to WalMart from ObamaCare, just like tens of millions and billions in charity to mega corporations, Just like Obama cheering GE for paying ZERO taxes, ObamaCare is for property tax relief to the super rich to shift it instead to blue collar and middle class white collar workers.",relief,Taxation,Disease,Threat,"[' get rich', ' none', ' get a raise']","[' just like the rich', ' just like rich people', ' just like the rich.']","[' get rich', ' get a raise', ' none']","[' get rich', ' none', ' get a raise']"
872,Stealing the Election!,Stealing,Elections,Theft,Property,"[' none', ' steal the election', ' get arrested']","[' stolen from the election', ' stolen from the people', ' stolen from the voters']","[' PersonX wins the election', ' PersonX wins the election.', ' PersonX is elected to office.']","[' PersonX wins the election', ' PersonX wins the election.', ' steal the election']"
873,"While the details of the CNCI continue to be worked out, there will be a big emphasis placed on strengthening the government's security posture through more proactive measures.",strengthening,Government,Building/Strength,Built,"[' make sure they are safe', "" make sure it's safe"", ' make sure they are secure']","[' secure', ' proactive', ' strong']","[' security', ' secure environment', ' secure']","[' make sure they are safe', "" make sure it's safe"", ' make sure they are secure']"
874,"Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.",preserving,Wealth,Physical Harm,Threatened,"[' get a new job', ' get a good job', ' none']","[' money', ' Wealth management', ' Wealthy']","[' get a new job', ' get a good job', ' get a job']","[' get a job', ' wealth management', ' get a loan']"
875,What's the best way to attack credit card debt?,attack,Poverty,Struggle/War,Enemy,"[' pay off credit card debt', ' pay off debt', ' pay off credit card']","["" what's the best way to attack credit card debt"", "" what's the best way to attack debt"", "" what's the best way to attack the debt""]","["" what's the best way to attack credit card debt"", "" what's the best way to attack debt"", ' what to do']","[' pay off debt', ' get a loan', ' what to do']"
876,The government slowly eroding gun rights is the same as a landlord taking away tenant space.,eroding,Gun Rights,Physical Harm,Threatened,"[' the government to be in charge', ' the government to be in control', ' the government to take away the rights']","[' the government to be in charge', ' the government to be in control', ' the government to be a landlord']","[' the government to be in charge', ' the government to be in control', ' the government to be in power']","[' the government to be in charge', ' the government to be in control', ' the government to take away the rights']"
877,"Gun control burdens peaceful citizens, not criminals.",burdens,Control of Guns,Physical Burden,Barrier,"[' none', ' gun violence', ' gun control']","[' gun control is illegal', ' gun violence', ' gun control is illegal.']","[' gun control', ' gun violence', ' gun control laws']","[' gun control', ' gun violence', ' gun control laws']"
878,"Two years later, Samaha has become a prominent and vocal opponent of guns on college campuses.",opponent,Guns,Competition,Enemy,"[' have to defend themselves', ' get arrested', ' get arrested for carrying gun']","[' gun violence on college campus', ' gun violence on college campuses', ' have to defend themselves']","[' two guns', ' two hands', ' gun control']","[' get arrested', ' two guns', ' two hands']"
879,"They criticise the movement on the grounds that, ""There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",fighting,Elections,War,Conflict,"[' none', ' they do not want to be a part of the movement', ' they do not want to be part of the movement']","["" they don't want to be a part of the movement"", "" they don't want to be part of the movement"", "" they don't want to be a part of it""]","[' they do not want to be a part of the movement', ' none', ' they do not want to be part of the movement']","[' none', ' they do not understand the movement', ' they do not have a platform']"
